Date,Close,High,Low,Open,Volume,Symbol,Security,Sector
2020-11-23,84.08180236816406,84.55907384189925,83.16840589459413,83.88431310519692,7541500,ABBV,AbbVie,Health Care
2020-11-24,85.54651641845703,86.2541929958062,84.41094544176799,84.65780542205532,9322200,ABBV,AbbVie,Health Care
2020-11-25,85.74402618408203,85.95797657400321,85.07749591625867,85.43133428963664,6368100,ABBV,AbbVie,Health Care
2020-11-27,86.31179809570312,87.06062117519001,85.82630238505823,86.38586048770743,4418800,ABBV,AbbVie,Health Care
2020-11-30,86.05672454833984,86.74794019383434,85.29144649621594,86.50108015390256,20726500,ABBV,AbbVie,Health Care
2020-12-01,85.61236572265625,87.53790032959867,85.61236572265625,86.4434755987301,7623500,ABBV,AbbVie,Health Care
2020-12-02,86.39408874511719,86.71501114311121,85.01988193544325,85.579440063907,5492200,ABBV,AbbVie,Health Care
2020-12-03,86.18838500976562,86.9783484658387,85.82632234952679,86.40233540768276,4693600,ABBV,AbbVie,Health Care
2020-12-04,88.27849578857422,88.3031811646178,86.4187866970796,86.4187866970796,7235800,ABBV,AbbVie,Health Care
2020-12-07,87.09353637695312,88.22088320399806,86.36940490063013,88.08099523892493,6532500,ABBV,AbbVie,Health Care
2020-12-08,88.61588287353516,89.15898000238775,86.89606169634709,86.97834837913426,6688200,ABBV,AbbVie,Health Care
2020-12-09,89.42229461669922,89.81727945450137,88.56649936652042,88.78868029968132,7350700,ABBV,AbbVie,Health Care
2020-12-10,88.45128631591797,89.75143700077902,87.77652560117886,89.74320645065274,6285700,ABBV,AbbVie,Health Care
2020-12-11,87.50498962402344,88.39370085474494,86.87960581994955,88.05632357597763,5205200,ABBV,AbbVie,Health Care
2020-12-14,85.74402618408203,88.92857154448376,85.65350895288735,88.40192926011719,8272700,ABBV,AbbVie,Health Care
2020-12-15,84.60845184326172,86.77262220529418,84.19701218125829,86.76439793226524,12101000,ABBV,AbbVie,Health Care
2020-12-16,86.10608673095703,86.73970728767014,83.85139927800856,84.345125586805,9182100,ABBV,AbbVie,Health Care
2020-12-17,86.31179809570312,86.81375490593565,85.66995332932579,86.28711272439169,6360600,ABBV,AbbVie,Health Care
2020-12-18,85.94974517822266,86.4517020815269,84.92114599572564,86.42701670563837,13906800,ABBV,AbbVie,Health Care
2020-12-21,85.34082794189453,85.51363187492069,83.56341157500258,84.5590949670516,6664600,ABBV,AbbVie,Health Care
2020-12-22,84.59198760986328,85.16800056136906,83.94191226283802,85.09394444391988,4002900,ABBV,AbbVie,Health Care
2020-12-23,84.98696899414062,85.5218417689173,84.68250768581322,84.8059345523943,3659100,ABBV,AbbVie,Health Care
2020-12-24,84.97052001953125,85.07749207062092,84.42741665691229,84.84708686638413,1378600,ABBV,AbbVie,Health Care
2020-12-28,85.12686920166016,85.48070758556737,84.5261707710253,85.29144884421666,3948900,ABBV,AbbVie,Health Care
2020-12-29,86.15546417236328,86.70679810012528,85.53830466889916,85.53830466889916,5096400,ABBV,AbbVie,Health Care
2020-12-30,86.62450408935547,87.4144737688755,86.48461611034358,86.49284666148283,5328400,ABBV,AbbVie,Health Care
2020-12-31,88.17151641845703,88.2784884651287,86.27889155655643,86.61627507601978,6148100,ABBV,AbbVie,Health Care
2021-01-04,86.73970794677734,88.33608948141386,85.46424255112994,88.19620151050486,9523400,ABBV,AbbVie,Health Care
2021-01-05,87.63665771484375,88.06455224837688,86.0978709483834,86.73972216579067,6823800,ABBV,AbbVie,Health Care
2021-01-06,86.8796157836914,88.20445223011123,85.72758327227346,86.1966243181563,11017500,ABBV,AbbVie,Health Care
2021-01-07,87.80945587158203,88.09746239235923,86.8713739021527,87.31572951052522,8196000,ABBV,AbbVie,Health Care
2021-01-08,88.27025604248047,88.48420640935726,87.02771287186164,87.91641770721411,5345900,ABBV,AbbVie,Health Care
2021-01-11,89.7103042602539,90.15465986403711,88.1056920338739,88.1056920338739,6334200,ABBV,AbbVie,Health Care
2021-01-12,90.33568572998048,91.15856500429702,89.79258867352827,89.8748753453458,6106900,ABBV,AbbVie,Health Care
2021-01-13,92.53277587890624,93.32274554104332,90.26985777687985,90.35215073031934,9821300,ABBV,AbbVie,Health Care
2021-01-14,92.93236541748048,93.81482346548096,91.1591352108766,92.15813689176656,8268800,ABBV,AbbVie,Health Care
2021-01-15,92.00830078125,92.874105341104,91.1425025728948,92.57440351840458,9196200,ABBV,AbbVie,Health Care
2021-01-19,93.39024353027344,93.49846669948312,91.7918383235727,92.61601501585626,7723800,ABBV,AbbVie,Health Care
2021-01-20,93.75653839111328,94.15613647989908,92.7991581781726,93.9979651475242,6554600,ABBV,AbbVie,Health Care
2021-01-21,92.62435913085938,93.86478780772582,92.20810730022644,93.76488508183432,5417000,ABBV,AbbVie,Health Care
2021-01-22,92.29134368896484,92.90739453506124,91.14249108113675,92.11651870634958,5185500,ABBV,AbbVie,Health Care
2021-01-25,91.99164581298828,92.59937622252066,90.91771543000527,91.35062084949368,6928200,ABBV,AbbVie,Health Care
2021-01-26,90.57640838623048,92.6576677117275,90.37660291790318,92.6576677117275,5554600,ABBV,AbbVie,Health Care
2021-01-27,85.57305145263672,88.82813744064133,85.40654691075103,88.47848742992961,11887900,ABBV,AbbVie,Health Care
2021-01-28,86.75519561767578,87.52942418603631,85.83944296783491,86.5803706314651,8534300,ABBV,AbbVie,Health Care
2021-01-29,85.31497955322266,86.98830736972877,84.75719726288828,86.58038234670728,9380400,ABBV,AbbVie,Health Care
2021-02-01,85.16512298583984,86.48880069477381,84.79881936004743,85.74787298005633,7518200,ABBV,AbbVie,Health Care
