#,Company,Symbol,Weight,Price,Chg,% Chg
91,CrowdStrike,CRWD,0.0021,490.67,-10.64,-0.0212
92,Honeywell,HON,0.002,190.02,1.88,-0.01
93,Chubb Limited,CB,0.002,298.29,1.97,-0.0066
94,Prologis,PLD,0.002,125.79,2.67,-0.0217
95,Analog Devices,ADI,0.0019,232.32,7.12,-0.0316
96,HCA Healthcare,HCA,0.0019,491.0,14.72,-0.030899999999999997
97,Blackstone Inc.,BX,0.0019,142.67,4.25,-0.030699999999999998
98,Vertex Pharmaceuticals,VRTX,0.0018,426.76,4.44,-0.0105
99,ConocoPhillips,COP,0.0018,87.37,-0.1,-0.0011
100,McKesson Corporation,MCK,0.0018,866.03,16.57,-0.0195
101,Lockheed Martin,LMT,0.0018,460.78,-7.48,-0.016
102,Parker Hannifin,PH,0.0018,839.57,20.17,-0.0246
103,KKR,KKR,0.0018,118.67,4.26,-0.037200000000000004
104,Constellation Energy,CEG,0.0018,338.11,-7.67,-0.0222
105,Automatic Data Processing,ADP,0.0017000000000000001,253.12,4.06,-0.0163
106,Comcast,CMCSA,0.0017000000000000001,27.35,0.72,-0.027000000000000003
107,CVS Health,CVS,0.0017000000000000001,78.03,1.99,-0.0262
108,CME Group,CME,0.0017000000000000001,273.09,-2.13,-0.0077
109,Southern Company,SO,0.0017000000000000001,89.27,0.7,-0.0079
110,Altria,MO,0.0016,58.19,0.01,-0.0002
111,Starbucks,SBUX,0.0016,85.35,2.73,-0.033
112,"Robinhood Markets, Inc.",HOOD,0.0016,107.3,1.09,-0.0103
113,Duke Energy,DUK,0.0016,122.8,0.26,-0.0021
114,Bristol Myers Squibb,BMY,0.0016,46.25,0.31,-0.0067
115,"Nike, Inc.",NKE,0.0016,62.8,1.37,-0.0223
116,General Dynamics,GD,0.0015,340.34,0.9,-0.0027
117,Newmont,NEM,0.0015,83.49,1.49,-0.0182
118,Trane Technologies,TT,0.0015,410.1,10.04,-0.025099999999999997
