#,Company,Symbol,Weight,Price,Chg,% Chg
400,Evergy,EVRG,0.0003,75.85,0.13,-0.0017000000000000001
401,Global Payments,GPN,0.0003,73.49,2.02,-0.028300000000000002
402,Invitation Homes,INVH,0.0003,28.19,0.24,-0.0086
403,International Flavors & Fragrances,IFF,0.0003,67.45,2.89,-0.044800000000000006
404,GoDaddy,GDDY,0.0003,127.06,2.83,-0.022799999999999997
405,Pentair,PNR,0.0003,104.79,3.31,-0.0326
406,Southwest Airlines,LUV,0.0003,32.8,1.64,-0.0526
407,Gartner,IT,0.0003,234.18,10.05,-0.044800000000000006
408,Essex Property Trust,ESS,0.0003,261.2,5.47,-0.021400000000000002
409,Fortive,FTV,0.0003,52.82,1.98,-0.038900000000000004
410,Hologic,HOLX,0.0003,74.36,0.24,-0.0032
411,Gen Digital,GEN,0.0003,26.54,0.48,-0.0184
412,Lennox International,LII,0.0003,465.12,20.86,-0.047
413,DuPont,DD,0.0003,38.54,1.42,-0.0383
414,Best Buy,BBY,0.0003,76.45,2.67,-0.0362
415,Aptiv,APTV,0.0003,74.13,3.85,-0.0548
416,Qnity Electronics,Q,0.0003,75.8,0.9,-0.012
417,J.B. Hunt,JBHT,0.0003,166.43,7.51,-0.0473
418,Dow Inc.,DOW,0.0003,22.2,1.25,-0.059699999999999996
419,Weyerhaeuser,WY,0.0003,21.78,0.41,-0.0192
420,Mid-America Apartment Communities,MAA,0.0003,133.61,2.74,-0.0209
421,Erie Indemnity,ERIE,0.0003,296.36,3.3,-0.0113
422,Jacobs Solutions,J,0.0003,128.77,-0.4,-0.0031
423,Cooper Companies (The),COO,0.0003,75.47,4.36,-0.0613
424,Universal Health Services,UHS,0.0002,231.92,6.54,-0.028999999999999998
425,Omnicom Group,OMC,0.0002,74.87,3.36,-0.047
426,LyondellBasell,LYB,0.0002,44.8,2.25,-0.0529
427,Solventum,SOLV,0.0002,82.9,3.39,-0.0426
428,Textron,TXT,0.0002,81.33,1.8,-0.0226
429,TKO Group Holdings,TKO,0.0002,178.17,1.68,-0.0095
430,Allegion,ALLE,0.0002,162.87,3.42,-0.021400000000000002
431,Fox Corporation (Class B),FOX,0.0002,59.14,0.49,-0.0084
432,Kimco Realty,KIM,0.0002,20.36,0.49,-0.024700000000000003
433,Domino's,DPZ,0.0002,407.4,10.19,-0.025699999999999997
434,Albemarle Corporation,ALB,0.0002,116.82,0.4,-0.0034000000000000002
435,Fox Corporation (Class A),FOXA,0.0002,65.69,0.55,-0.0084
436,"F5, Inc.",FFIV,0.0002,234.29,8.46,-0.0375
437,Brown–Forman,BF.B,0.0002,28.45,0.55,-0.0197
438,Ball Corporation,BALL,0.0002,49.87,1.96,-0.0409
439,Avery Dennison,AVY,0.0002,170.46,4.45,-0.0268
440,Nordson Corporation,NDSN,0.0002,233.48,5.4,-0.023700000000000002
441,Everest Group,EG,0.0002,311.34,6.35,-0.0208
442,Regency Centers,REG,0.0002,70.87,1.46,-0.021
443,Masco,MAS,0.0002,62.24,2.14,-0.0356
444,Akamai Technologies,AKAM,0.0002,89.01,1.63,-0.0187
445,IDEX Corporation,IEX,0.0002,170.65,7.65,-0.046900000000000004
446,Clorox,CLX,0.0002,103.92,3.85,-0.0385
447,Hormel Foods,HRL,0.0002,22.69,0.37,-0.0166
448,Wynn Resorts,WYNN,0.0002,119.6,2.46,-0.021
449,Deckers Brands,DECK,0.0002,85.13,3.65,-0.044800000000000006
450,Healthpeak Properties,DOC,0.0002,17.84,0.44,-0.0253
451,Jack Henry & Associates,JKHY,0.0002,170.8,3.03,-0.0181
452,CF Industries,CF,0.0002,78.54,0.75,-0.0096
453,Zebra Technologies,ZBRA,0.0002,240.95,12.55,-0.054900000000000004
454,Viatris,VTRS,0.0002,10.46,0.27,-0.0265
455,Huntington Ingalls Industries,HII,0.0002,305.49,3.66,-0.0121
456,Host Hotels & Resorts,HST,0.0002,17.42,0.61,-0.0363
457,"UDR, Inc.",UDR,0.0002,35.59,0.91,-0.0262
458,Assurant,AIZ,0.0002,226.82,0.77,-0.0034000000000000002
459,Franklin Resources,BEN,0.0002,21.68,0.5,-0.0236
460,J.M. Smucker Company (The),SJM,0.0002,105.54,1.79,-0.0173
461,Builders FirstSource,BLDR,0.0002,101.62,6.77,-0.07139999999999999
462,Camden Property Trust,CPT,0.0002,105.23,1.47,-0.014199999999999999
463,Revvity,RVTY,0.0002,98.27,4.25,-0.0452
464,Hasbro,HAS,0.0002,79.2,2.44,-0.0318
465,"BXP, Inc.",BXP,0.0002,70.04,1.38,-0.020099999999999996
466,Dayforce,DAY,0.0002,68.85,-0.02,-0.0003
467,Pinnacle West,PNW,0.0002,89.15,-0.19,-0.0021
468,Globe Life,GL,0.0002,132.42,2.05,-0.015700000000000002
469,FactSet,FDS,0.0002,277.02,3.97,-0.014499999999999999
470,Invesco,IVZ,0.0002,23.22,0.52,-0.0229
471,Stanley Black & Decker,SWK,0.0002,66.15,3.71,-0.0594
472,Align Technology,ALGN,0.0002,142.56,9.75,-0.07339999999999999
473,EPAM Systems,EPAM,0.0002,180.98,2.36,-0.0132
474,AES Corporation,AES,0.0002,13.75,0.24,-0.0178
475,Bio-Techne,TECH,0.0002,61.53,2.8,-0.04769999999999999
476,News Corp (Class A),NWSA,0.0002,25.69,0.89,-0.0359
477,Campbell Soup Company,CPB,0.0002,31.66,0.86,-0.0279
478,Baxter International,BAX,0.0002,18.31,0.89,-0.051100000000000007
479,Interpublic Group of Companies (The),IPG,0.0002,25.72,1.17,-0.04769999999999999
480,Skyworks Solutions,SWKS,0.0002,62.61,2.11,-0.0349
481,Moderna,MRNA,0.0002,23.72,1.36,-0.0608
482,Molson Coors Beverage Company,TAP,0.0002,46.11,0.64,-0.0141
483,A. O. Smith,AOS,0.0002,65.1,1.85,-0.0292
484,Pool Corporation,POOL,0.0002,239.98,9.77,-0.0424
485,MGM Resorts,MGM,0.0001,32.55,1.79,-0.0582
486,Paycom,PAYC,0.0001,162.14,2.23,-0.0139
487,Alexandria Real Estate Equities,ARE,0.0001,50.89,2.03,-0.0415
488,Henry Schein,HSIC,0.0001,73.4,2.22,-0.031200000000000002
489,Generac,GNRC,0.0001,146.04,5.82,-0.0415
490,Conagra Brands,CAG,0.0001,17.77,0.39,-0.022400000000000003
491,APA Corporation,APA,0.0001,23.95,0.57,-0.024399999999999998
492,DaVita,DVA,0.0001,120.25,4.9,-0.0425
493,Federal Realty Investment Trust,FRT,0.0001,97.97,1.71,-0.0178
494,Norwegian Cruise Line Holdings,NCLH,0.0001,18.2,0.7,-0.04
495,Charles River Laboratories,CRL,0.0001,167.64,5.56,-0.034300000000000004
496,Lamb Weston,LW,0.0001,57.68,2.09,-0.037599999999999995
497,Mosaic Company (The),MOS,0.0001,24.17,0.24,-0.01
498,Match Group,MTCH,0.0001,32.27,1.02,-0.0326
499,LKQ Corporation,LKQ,0.0001,29.56,0.8,-0.0278
500,Molina Healthcare,MOH,0.0001,141.56,7.05,-0.0524
501,Solstice Advanced Materials Inc.,SOLS,0.0001,44.44,1.19,-0.0275
502,Mohawk Industries,MHK,0.0001,109.93,6.25,-0.0603
503,News Corp (Class B),NWS,0.0001,29.0,1.02,-0.0365
