Date,Close,High,Low,Open,Volume,Symbol,Security,Sector,Weight,Return,LogReturn,Year,YearWeight
2020-11-23,110.82754516601562,114.4974645720946,110.73020141936895,114.06914317462709,127959300,AAPL,Apple Inc.,Information Technology,0.0674,,,2020,0.05
2020-11-24,112.1125030517578,112.77445093316165,109.6009942581799,110.88595846342132,113874200,AAPL,Apple Inc.,Information Technology,0.0674,0.01159421048095366,0.011527512666565981,2020,0.05
2020-11-25,112.94966888427734,113.6505557267342,112.11249931432629,112.48241594054052,76499200,AAPL,Apple Inc.,Information Technology,0.0674,0.007467194199856975,0.007439452720329682,2020,0.05
2020-11-27,113.49480438232422,114.3709129708123,113.1346317708944,113.47533860340312,46691300,AAPL,Apple Inc.,Information Technology,0.0674,0.004826357646124713,0.004814748121553726,2020,0.05
2020-11-30,115.88948822021484,117.7585146753094,113.70894992908693,113.86470584710362,169410200,AAPL,Apple Inc.,Information Technology,0.0674,0.02109950187520271,0.02087998974768469,2020,0.05
2020-12-01,119.46208190917967,120.19217122258144,116.82402674797702,117.797479165846,127728200,AAPL,Apple Inc.,Information Technology,0.0674,0.03082759052465689,0.03036196556578358,2020,0.05
2020-12-02,119.81250762939452,120.0948096799896,117.68064477339988,118.78064316901394,89004200,AAPL,Apple Inc.,Information Technology,0.0674,0.0029333635795938395,0.00292906966367707,2020,0.05
2020-12-03,119.67623138427734,120.49392777356492,118.96560791819012,120.24082808918226,78967600,AAPL,Apple Inc.,Information Technology,0.0674,-0.0011374125107096456,-0.0011380598552311312,2020,0.05
2020-12-04,119.00454711914062,119.59835363347426,118.29392365175956,119.34525394863078,78260400,AAPL,Apple Inc.,Information Technology,0.0674,-0.005612511836038281,-0.005628321161694383,2020,0.05
2020-12-07,120.46473693847656,121.26296762556044,119.00455830891929,119.06296307750874,86712000,AAPL,Apple Inc.,Information Technology,0.0674,0.012270033832186833,0.012195367121974181,2020,0.05
2020-12-08,121.07799530029295,121.66207262611567,119.82224093273688,121.06826612455384,82225500,AAPL,Apple Inc.,Information Technology,0.0674,0.005090770771612574,0.005077856608241803,2020,0.05
2020-12-09,118.54702758789062,122.60632215950014,117.7877359329826,121.2240215863675,115089200,AAPL,Apple Inc.,Information Technology,0.0674,-0.020903614287014927,-0.021125188066995364,2020,0.05
2020-12-10,119.96825408935548,120.58153376453308,116.96029017970808,117.3009969843338,81312200,AAPL,Apple Inc.,Information Technology,0.0674,0.011988714777442677,0.01191741939740736,2020,0.05
2020-12-11,119.16030883789062,119.501015683911,117.34968682549408,119.17977461758367,86939800,AAPL,Apple Inc.,Information Technology,0.0674,-0.0067346587444965245,-0.006757438893995135,2020,0.05
2020-12-14,118.54702758789062,120.07534750085608,118.31340110026942,119.34525822854418,79184500,AAPL,Apple Inc.,Information Technology,0.0674,-0.005146690672263365,-0.0051599805034122535,2020,0.05
2020-12-15,124.48509979248048,124.5045730010124,120.83465301231116,121.03907714077828,157243700,AAPL,Apple Inc.,Information Technology,0.0674,0.050090435208823614,0.04887628923087063,2020,0.05
2020-12-16,124.41692352294922,124.96205437931008,123.20010827082164,124.02754858374912,98208600,AAPL,Apple Inc.,Information Technology,0.0674,-0.0005476661033723129,-0.0005478161272305263,2020,0.05
2020-12-17,125.2833251953125,126.13996808980455,124.64084302444346,125.47801271123195,94359800,AAPL,Apple Inc.,Information Technology,0.0674,0.006963696319041812,0.0069395617648544804,2020,0.05
2020-12-18,123.29747772216795,125.67270382324948,122.77181256405063,125.53642108894336,192541500,AAPL,Apple Inc.,Information Technology,0.0674,-0.015850852218750378,-0.01597782046747793,2020,0.05
2020-12-21,124.8258056640625,124.90368364385454,120.17270406085603,121.70102413672326,121251600,AAPL,Apple Inc.,Information Technology,0.0674,0.012395451797792667,0.012319257183474614,2020,0.05
2020-12-22,128.37893676757812,130.8417707172585,126.20812672204306,128.11610040013912,168904800,AAPL,Apple Inc.,Information Technology,0.0674,0.028464715966488363,0.02806712321854825,2020,0.05
2020-12-23,127.48332977294922,128.9142911011182,127.30810062123794,128.651469654108,88223700,AAPL,Apple Inc.,Information Technology,0.0674,-0.006976276772336476,-0.007000724761447224,2020,0.05
2020-12-24,128.4664764404297,129.9169254349974,127.6195778559662,127.83373850895474,54930100,AAPL,Apple Inc.,Information Technology,0.0674,0.0077119625697843475,0.00768237739559621,2020,0.05
2020-12-28,133.0612030029297,133.6939410837403,129.96561683148184,130.43288465030292,124486200,AAPL,Apple Inc.,Information Technology,0.0674,0.03576595770205149,0.03514120876187991,2020,0.05
2020-12-29,131.2895050048828,135.10543618196706,130.77357648181422,134.38509099699746,121047300,AAPL,Apple Inc.,Information Technology,0.0674,-0.013314910417635883,-0.01340434863244027,2020,0.05
2020-12-30,130.17005920410156,132.37980036355688,129.8585472989338,131.9806813052001,96452100,AAPL,Apple Inc.,Information Technology,0.0674,-0.008526544454102503,-0.008563103396903755,2020,0.05
2020-12-31,129.16738891601562,131.16296911492586,128.2231389904879,130.5204870277971,99116600,AAPL,Apple Inc.,Information Technology,0.0674,-0.00770277200622449,-0.0077325915821431015,2020,0.05
2021-01-04,125.9744644165039,130.0629610638514,123.394814362578,129.97535392263828,143301900,AAPL,Apple Inc.,Information Technology,0.0674,-0.02471927725958567,-0.025029928666118074,2021,0.05
2021-01-05,127.53199768066406,128.24262865019975,125.02048862539876,125.46828327943898,97664900,AAPL,Apple Inc.,Information Technology,0.0674,0.012363880818024864,0.012288072262618292,2021,0.05
2021-01-06,123.2390594482422,127.57092663069264,123.02489875437408,124.32932869572905,155088000,AAPL,Apple Inc.,Information Technology,0.0674,-0.03366165598041704,-0.034241253485481044,2021,0.05
2021-01-07,127.44435119628906,128.13550874486347,124.46559005229668,124.95231611775166,109578200,AAPL,Apple Inc.,Information Technology,0.0674,0.034123043188373225,0.033553766287447766,2021,0.05
2021-01-08,128.54437255859375,129.1089766459298,126.77268233415624,128.9142743130051,105158200,AAPL,Apple Inc.,Information Technology,0.0674,0.00863138579292877,0.008594348352937382,2021,0.05
2021-01-11,125.5558624267578,126.71427293823224,125.08860952298478,125.76029392736588,100384500,AAPL,Apple Inc.,Information Technology,0.0674,-0.023248860081165446,-0.023523377994825647,2021,0.05
2021-01-12,125.38065338134766,126.2470252939188,123.4921536305582,125.08861473418492,91951100,AAPL,Apple Inc.,Information Technology,0.0674,-0.0013954668625079103,-0.0013964414331496253,2021,0.05
2021-01-13,127.41519165039062,127.9603226503501,125.07891169236268,125.34173316138948,88636800,AAPL,Apple Inc.,Information Technology,0.0674,0.01622689158314472,0.01609664271177568,2021,0.05
2021-01-14,125.48773193359376,127.52224355209351,125.34170518524397,127.32755607466288,90221800,AAPL,Apple Inc.,Information Technology,0.0674,-0.015127393302405756,-0.015242979476255638,2021,0.05
2021-01-15,123.76473999023438,126.7629752239917,123.62845724568656,125.36120136366826,111598500,AAPL,Apple Inc.,Information Technology,0.0674,-0.01373036166014352,-0.013825494888630016,2021,0.05
2021-01-19,124.43640899658205,125.2930517717372,123.5700370457831,124.3877334109567,90757300,AAPL,Apple Inc.,Information Technology,0.0674,0.0054269819207042325,0.005412308917131327,2021,0.05
2021-01-20,128.52491760253906,128.97271223666024,125.13730745125214,125.244387808083,104319500,AAPL,Apple Inc.,Information Technology,0.0674,0.0328562085560451,0.03232798253574143,2021,0.05
2021-01-21,133.2364044189453,135.9620736838479,130.04348223408022,130.24791374177147,120150900,AAPL,Apple Inc.,Information Technology,0.0674,0.03665815862241151,0.03600223037270966,2021,0.05
2021-01-22,135.3780059814453,136.13729751698824,131.435521560002,132.66206599733243,114459400,AAPL,Apple Inc.,Information Technology,0.0674,0.01607369676358128,0.015945882710295563,2021,0.05
2021-01-25,139.12579345703125,141.23818305206848,132.91516336360118,139.27182020640586,157611700,AAPL,Apple Inc.,Information Technology,0.0674,0.02768387263806793,0.027307602850920015,2021,0.05
2021-01-26,139.3594512939453,140.46918645287846,137.6169631530498,139.78777273313094,98390600,AAPL,Apple Inc.,Information Technology,0.0674,0.0016794717292032413,0.001678062993625809,2021,0.05
2021-01-27,138.28863525390625,140.46917381461645,136.6824448551771,139.6222601892596,140843800,AAPL,Apple Inc.,Information Technology,0.0674,-0.007683842251792639,-0.007713515066214687,2021,0.05
